TEXT,LANG
"Mame Jezu omiry etaryke tyya xine tõsenuruhkase imoihmãkomo, tuaro Jezu exiryke.",apalai
"Yrome Jezu tuaro kynexine. Tykerekeremary tonetupuhse eya. —Oty katoh ykerekeremãko matou okurohtao xihne? tykase ynororo eya xine. —Ywy ase Kapu ae Ayhtohpyry. Iirypyrymãkõ rypyry korokary waro ase. Kurãkõkara kurãkary waro roropa ase. Naeroro mose kurãkãko ropa ase, iirypyrymãkõ rypyry korokary waro jexiry waro oehtohkõme, tykase ynororo eya xine. Mame ynara tykase pakaihkapyny a ynororo,",apalai
"Otato awahtao xine Juzenu omipona ehtoko oururukohtao ypoetory tõ netaryme, enara.”",apalai
"—Etatoko pahne, tuhke tokyke kaneru esẽ mana. 100me eky tõ mã otarãme. Mame otara ãko nae toiro toky tytahse ahtao? Ynara ãko mã otarãme, “Jeky tõ nomõko ase aporo taro ona po, toto otukuruhtao,” ãko mana. Mame ytõko mã ynororo, itatyhpyry zupise ropa.",apalai
"Orẽpyra Jezu ehtopõpyry Morarame tõturukehse Jezu ahtao tõsenuruhkase toto tamorepatopõpyrykõ poko Jezu a. Moeze omihpyry poko amorepatõkõ sã pyra Jezu namorepatoh kynexine, tuaro toexiryke.",apalai
"—Ritonõpo omipona awahtao xine kokoro rokene, mame kure oexirykõ pokoino tyyryhmase awahtao xine imehnomo a tãkye rokẽ ehtoko. Ohtomarykõ toanahtose oya xine ahtao Ritonõpo esary oesarykõme exĩko mana.",apalai
Naeroro tomeseke ehtoko oehtohkõ poko. Tuaro pyra exiketõ sã pyra ehtoko. Tuaro ehtoko.,apalai
"Sajẽtu poetory kurãkatopõpyry poko Jezu a Morarame morohne poko mokaro amorepakehxĩpo Jezu toytose ropa Kapanaũ pona. Moroto soutatu esẽ kynexine, sajẽtu. Ipoetory tõ 100me kynexine, soutatu tomo. Romanome kynexine ynororo, juteukara.",apalai
"Mame ynara tykase nohpo eya, —Ajohpe pyra mase. Juteu tõ ekyme sã ynanase juteume pyra yna exiryke. Yrome toto eky sã tõsẽ akumuru eraximãko ynanase, toto zoh akoĩpyry eraximãko, tykase nohpo Jezu a.",apalai
"Mame tosẽkõme mokyro enetupuhnõko seropõkõ mana emero porehme,” tykase Izaja pake Ritonõpo omiryme.",apalai
"—Tyoro tynahke ase. Zuaro pyra matose, tykase ynororo eya xine.",apalai
"Onenerykõme pape merõko ase. “Zae ehtoh waro pyra matose,” kara ase oya xine. Yrome zuaro oexirykõke sẽ pape merõko ase onenerykõme. Zae ehtoh tyorõtara mana. Zae ehtoh ajohpe exipyra mana ipunaka. Moro waro matose.",apalai
