TEXT,LANG
"Aꞌeramũ mainana ꞌwyriararete ꞌga, Kaifasi ꞌga ojeꞌega ꞌgã nupe. Kaifasi ꞌga ꞌwyriaramũ ꞌũina ꞌgã nupe aipoa kwara rupi rakue. Aꞌeramũ ꞌga aꞌeramũ ojeꞌega ꞌgã nupe: —Nepẽneapyoi we futat ꞌga ree? ꞌGa futat ijukapyramũ. Aꞌeramũ ꞌga etee futat amanũmarũmũ najuejue etee jane apisiukareꞌema— ꞌjau Kaifasi ꞌga ojeꞌega wemiayuwa ꞌgã nupe.",kayabi
Haꞌe ramo haꞌe kuery joupe-upe aipoeꞌi: — Mbaꞌerã tu jaipotave hekokue mombeꞌuarã? Mbaꞌeta nhande kuery ae nhaendu ijuru gui.,guarani
Konókoti ú'uso kéyeyi itukétike ákoti yahuléke. Konókotimaka heru'ó kíxinoe yomíxone ke'ítukeino Vúnae.,terena
"Tahe ritỹỹraxinyhyy ihỹmyhỹ. Tahe Jesuisi rỹire; rarybere: —Inyõ òrarukõmy ratxirerile, tii mana‑di juhuu tamy rehukre. Ixityrele sỹ Jesuisi ròritidỹỹre suò.",karaja
"Itea aínapo ákoe Itukó'oviti vo'oku upánini itúkeovo váhere kixovókuti exô kêku yanekôyoke, kó'oyene herú kixene iséneu kitípi ne ihíkauvoti íhikexokonoke. Kó'oyene koeku ítivoa ne váhere kixovókuti, itíponenoe ovoxe Itukó'oviti koati ponóvoti kixoku itúkeovo.",terena
"Mɨsâ masí weeti? Mɨsa yaá ɨpɨ, Cristo yaa ɨpɨ me'ra a'mé sɨ'a'. Marî tohô niî' niîrã, Cristo yaa ɨpɨre a'tîro weetá basió wee'. A'me tãrá wapá ta'ago yaa ɨpɨ me'ra tii ɨpɨ́re a'mé sɨ'ota basió wee'.",tukano
"Haꞌe ramo tembiguai kuery tape rupi ojeꞌoi vy omboaty ojou vaꞌe haꞌe javi, heko porã haꞌe heko vai vaꞌe guive. Haꞌe rã opy okaru aguã py tynyẽ oenoĩ vaꞌekue.",guarani
"Timóteore Paulo, Sila naâ miáa'ke niî' Paulo, Sila Derbe, Listra wamêtise makaripɨre etâkãrã niîwã. Listrapɨ ni'kɨ́ Jesuré ẽho peógɨ Timóteo wamêtigɨre boka ehákãrã niîwã. Kɨ̃ɨ̂ pakó Judeu maso Jesuré ẽho peógo niîko niîwõ. Pakɨ́ pe'ea' grego masɨ niîkɨ niîwĩ. Jesuré ẽho peórã Listra, Icôniokãharã Timóteore ãyuró wãkûkãrã niîwã. “Ãyugɨ́ niîmi”, niî ĩ'yâkãrã niîwã.",tukano
"Levi tahe taheto‑ki roxinaõ riòlòdỹỹnyre Jesuisi dee. Tamy rehemynyre nieru arisidu mahãdu, tule fariseu mahãdu. Ibutumy iny iarixina mahãdu.",karaja
"Hokôpo Jesus ne sêno koéhati Lîtea ya Filípu Vipuhíkeane Torôadi ya hána'iti vatéke, ponó koene uti Samotarásiya. Po'ípone káxe ina vitopóno pitivóko koéhati Neápuli.",terena
"Haꞌe nunga rupi tapeo, penhomoingo xeremimboꞌerã haꞌe javi regua gui. Haꞌe vy pemongarai ꞌrã Tuu, Taꞌy haꞌe Nheꞌẽ Kyꞌa Eꞌỹ rery rupi.",guarani
"Haꞌe rami teĩ tenonde pyguare ma heta ꞌrã opyta takykue py, haꞌe rã takykue pyguare ma tenonde py ꞌrã ikuai.",guarani
"Haꞌe rami rire Nhanderuete omboyvate ju pavẽ áryve, haꞌe heryrã omeꞌẽ tery ikuai vaꞌe gui yvateve vaꞌe, Jesus rery pavẽ omboete vy guenapyꞌã re oĩ aguã, yva re, yvy re haꞌe yvy guýry ikuai vaꞌe guive, haꞌe gui haꞌe javive “Jesus Cristo ae Senhor oiko” heꞌi okuapy aguã, Nhanderuete omboetea rupi.",guarani
"Aõu tahe hãbuõ Jesuisi‑ò nade: —Erydỹỹdu, aõhebo arotỹỹnykre. Aõma, timykibo umytuedeõna aritakemy wahe. Aõwidỹỹ wiwihikỹbo ariwinykemy.",karaja
"— Haꞌe ramo hiꞌarandu vaꞌe kuery ombovai: “Ndaꞌevei teve, orevy oata eꞌỹ aguã, haꞌe pẽvy voi. Tapeo ivendeaty py pejogua aguã”, heꞌi.",guarani
"Énomonemaka indúko yumómbeake ne xâne koemóke'enuti, koyúhoti ákoyea indúkapu ápostulu.",terena
Haꞌe rã xee ma aipoaꞌe pẽvy: Kunhague re itavyxea rupi omaꞌẽ vaꞌe voi hexeve itavy ae ma opyꞌa py.,guarani
"Jesus ombovai: — Mbojape raꞌykue hyꞌa py amoakỹ vaꞌekue ameꞌẽa vaꞌe ae ꞌrã — heꞌi. Haꞌe rireꞌive mbojape raꞌykue ojopy vy omoakỹ, haꞌe omeꞌẽ Simão Iscariotes raꞌy  pe.",guarani
"Be'ró kɨ̃ɨ̂re tohô weekã́ ĩ'yâgɨ, Barnabé Saulore wee tamúgɨ, Jesu kɨ̃ɨ̂ bese kũú'kãrã tiropɨ pihî wã'kakɨ niîwĩ. Toopɨ́ ehâgɨ, Barnabé naâre werêkɨ niîwĩ Damasco wa'arí ma'apɨ Saulo Jesuré ĩ'yâ'kere. Kɨ̃ɨ̂re uúkũ'ke kẽ'rare werêkɨ niîwĩ. Apêye Damascopɨ Saulo Jesu yeé kitire wãkû tutuase me'ra bu'ê'kere werêkɨ niîwĩ.",tukano
Quiquin Salbacü Jesusninchicwan cuyamäninchic Tayta Diosmari llaquipayninpa śhun'unchicta wiña-wiñaypä acchiycachimälanchic. Pay-ari ima lulayćhüpis limayćhüpis callpanchaycuśhunqui tacyaycälichishunqui.,urubu-kaapor
"Okaꞌjam maꞌea kunumĩũũ ꞌga Aꞌere Jejui ꞌga ꞌũina mamaꞌe mũ momeꞌwau ꞌgã nupe nũ, ꞌgã muꞌjau ꞌUwarete ꞌga ree: —Kũimaꞌe ꞌga amũ mukũi tee ꞌga raꞌyra ꞌgã. Kũimaꞌea jue ꞌga raꞌyra ꞌgã. Iwujaa ꞌga ꞌjau ꞌuwa ꞌga upe: “Anure ki ekaraemã emut oree. Aꞌere je temaꞌea ꞌawauwe ifutari. Emanũmeꞌẽwe jemaꞌea emut jee”, ꞌjau iwujaa ꞌga ꞌuwa ꞌga upe. —Aꞌerauwe ꞌga okaraemã mojoꞌoka waꞌyra ꞌgã nupe. Kwaiwete ꞌga kaꞌaranũũa. Aꞌeramũ ꞌga okaraemã kwajamũ.",kayabi
