LANG,TEXT
Achuar,"Nunia apu Herodes Cristonu ainaun wait wajaktiniun susarat tusa ni aintsrin akupkamiayi.
"
Achuar,"Nuniangka Jesús Yusen seak: “Apaachiru, ameka mash nayaimpinmaya ainau Apurinme. Tura mash nungkanmaya ainau Apurinme. Tura asam aints ningki nintimsar: ‘Wikia nekau aintsuitjai,’ tinauka ju chichaman nekaacharti tusam uukuitme. Antsu uchia nunisarang nintiminau ju chichaman paan nekaawarti tusam nekamtikiawaitme. Tura asakmin maaketai tajame.
"
Achuar,"jakamin nekapnuyajai. Tura nuna nekau asan, Yus Moisésan umirkatin chichaman aints ainau pengker pujusarti tusa akupkau wainiatnak, nu chichamnaka umikchau asan: Wi jakamtaikia Yus wait wajaktiniun surustinuapita, tu nintimsan pujuyajai.
"
Achuar,"Ame cinco (5) aints tsanirmam pujuyame. Tura yamaisha tsanirmam pujame nuka aishrumchawaitai. Tura asamtai: Aishruka atsawai tame nuka nekasam tame, —timiayi.
"
Achuar,"Tamati kajerinak: —Ameka nekas nu aints nemarnuitme. Antsu iikia Moisés nemarnuitji.
"
Achuar,"Tura ujakaram Jesús ni tepamunam weri, uwejen tap achik inankimiayi. Turamtai tsuweamuri karmachu michatramiayi. Tura michatar wajaki irasartas taarun yuramiayi.
"
Achuar,"Tura atumka Cristo miatrusrumek umirkurminkia, nuniangka chikich ainau nangkamiar Cristonuitjai tinayat, Criston umirtsuk pujuinamtaikia, ni turamuri pachisar chicharkatnuitji.
"
Achuar,"Atumka péngke aints ainau tunaarinchau wainiatrumek nangkamrum mau arumning, atumin nepetamkartatkama tujintramkarmiayi.
"
Achuar,"Nuniangka Judas Iscariote Jesúsa nuiniatiri wainiat, iwianchi apuri Satanás ni nintin engkemtuamiayi.
"
Achuar,"Nunaka nekarinau asar, wi yaanchuik fariseo wajasmauncha nekarinawai. Fariseo ainauka: Yusen miatrusnak umirnuitjai tumaminawai. Nuna mash nekainau asar, ni wakerinakka wína pachitsar ujatmakarminuitai.
"
Achuar,"Tu tinam, nuna antuk untsumak: —Jesúsa, Davidta weariya, wína wait anentrurta, —timiayi.
"
Achuar,"nu aints ainau Yusen timiá nakitinau asaramtai, Yus kakarman kajerkatnuitai. Tura ni awemamuri ainauti wajamunam, tura Uwija Uchiri wajamunam, ji azufrejai tuke keamunam nukap wait wajaktinnum akupkartinuitai.
"
Achuar,"Tura asan atumnasha Roma yaktanam pujuinautirmincha uwemratin chichaman ujaktasan nukap wakerajrume.
"
Achuar,"Tura wína inatir aishmang ainauncha, tura nuwa ainauncha wína Wakantrunka akuptuktinuitjai. Tura asamtai wína chichamrun etserkartinuitai.
"
Achuar,"Tura asamtai judíochu ainautiram, Yuse aintsri ayatrumek nangkamrum: Judío ainaun Yus ajapa ukukin asamtai, wikia judío ainaun nangkamasnak pengke aintsuitjai, tuuka nintimrairap. Antsu tu nintimrataram: Yus judío wearin kichik mash aints ainaun uwemtikratin ati tusa akupkau asamtai, judíochu ainauti yamaikia Yuse aintsri ainiaji, tu nintimrataram.
"
Achuar,"Esteban tamati nuna antukar, judío juuntri ainau kakarar kajerinak nainka katetet awajiarmiayi.
"
Achuar,"Tura asaram wainmamkataram. Satanás nepetkatasrumka nekas aa nuke nintimrataram. Tura wait chichamka etsertsuk nekas aa nuke etserkataram. Tura Cristo atumi nintin japitramrau asamtai, tunaarumsha mash japaram ukukrum, tunaachawa nunisrumek pujustaram.
"
Achuar,"Turamtai uchin eemkaurin jurermiayi. Tura tarachjai pempearmiayi. Antsu iraakur kanutai jea angkanchau asamtai, uchin tangku ayurtainum tuksamiayi.
"
Achuar,"Tamati Moisésa chichame nuikiartin ainau chicharinak: —Nekasam pengker tame, —tiarmiayi.
"
Achuar,"Tura atumin untsuri chingkin nangkamasang Yuska timiá anenmau asa, atumi intashi warutmak awa tusa nekapmarmawaitai. Tura asamtai atumin mantamawartas wakerutminamtaisha shamtsuk asataram,” Jesús timiayi.
"
Achuar,"“Ii juuntri Davidcha Jesús akiintsaing, Jesúsan pachis tu armiayi: ‘Wína Apurun tuke wijai pujaun wainuyajai. Niisha wína untsurunini pujurtau asamtai, wikia pengké mengkaakashtatjai.
"
Achuar,"Tura asamtai Judas sacerdote juuntri ainaun, tura fariseo ainauncha ujaak: Suntarum tsangkatruktaram tamati, niisha suntar ainaun, tura Yus seatai juun jea wainin ainauncha Judasjai wearti tusar akupkarmiayi. Turinamtai nangkijai, tura saapijai, tura namparingjai, tura kantiinasha takusar, Jesúsan achikiartas tariarmiayi.
"
Achuar,"Yuse chichamen etserin Yuse chichamen ujatminamtaisha, nangkami tawai tiirap.
"
Achuar,"iniinak: —¿Atumi uchiri wainmichu akiinamiayi timiarme nuka nekas jukai? ¿Tura tuke wainmichu akiinausha itiur yamaisha wainmawa? —tiarmiayi.
"
Achuar,"Maj ¿atumka nekasrumek kakarmachu Yus umirat inaisarum? Cristo iin timiá anenmau asamtai, Yus wína aintsur ataram tusa, atumin eatmaku wainiatrum, tura chikich uwemratin chicham atsau wainiatrum, chikich aints atumin tarutmiar, Cristonam uwemratin chichaman yapajiawartas wakerinau wainiatrum, atumka nangkamrum: Nu chichaman umirkunka uwemratatjapi tarume.
"
Achuar,"Yuse Uchiri Jesucristo yaanchuik ju nungkanam taa: Yus nekas puja nuka tu pujawai tusa nekamtikramamiaji. Tura asar Jesucristo nekas Yuse Uchiri aa nujai tsaniasar pujaji. Niisha tuke pujuu asa, iincha pujut nangkankashtinun suramji tusar nekaji.
"
Achuar,"Tura ¿warukaya wínaka nekasampita turutinatsua? tu nintimramiayi. Nunia Jesús chikich chikich yaktachinam aints ainaun Yuse chichamen nuiniak wekaimiayi.
"
Achuar,"Antsu Yuse Wakanin pachisar pasé chichainaunka pengké tsangkurashtinuitai, antsu nu aintska tuke wait wajakartinuitai,” Jesús timiayi.
"
Achuar,"Tamati Pedro ataksha iniak: —Apuru ¿waruka yamaikikia winichminuitme turutme? Wisha amin ayamruktasan jatan wakerajai, —timiayi.
"
Achuar,"Tura asa wína nemasur ainaun Yus nepetkati tusa, Jesús nuna nakak pujawai.
"
Achuar,"Tura vino surin ainau: Yumiapi yarakmaji tusar nekarmiayi. Antsu fiestanam untsumakuka yumi vino najanamun nekapsatas umusa jiis: —¿Jusha tunia itamuita? —tusasha nekatsuk shiirman nekapramiayi.
"
Achuar,"Tura asamtai yamaikia ii namangke wakera nuka wakerutsuk, antsu Yuse Wakani wakera nuke wakerau asar, yamaikia Yus umirkatin chicham miatrusrik umirnuitji.
"
Achuar,"Nu chichamka juwaitai: Judíochu ainautirmesha judío ainautijai metek Cristo Jesúsnau asar, uwemratin chicham umirkar kichik aintsua nunisrik atinuitji. Tura Yuse uchiri asar, mash iruntrar Cristonu ainiaji. Judío ainautin Yuska yaanchuik ni chichamen akupturmak: Wijai tuke pujusmintrum tímia nunisang yamaikia judíochu ainautirmincha ju chichamnasha akupturmarme.
"
Achuar,"Tunau nepetkaru ainauka wína Yusru jeen painia nunisarang tuke jiintsuk nuni pujusartin ainawai. Tura wína Yusru naarincha ni namangken aatratnuitjai. Tura wína Yusru yaktarin Jerusalén yamaram aa nuka nayaimpinmaya taratnua nuna naarincha ni namangken aatratnuitjai. Tura wína naarun yamaram aa nuna ni namangkencha aatrartinuitjai.
"
Achuar,"Nunia fariseo ainaujai tura Moisésa chichamen nuikiartin ainaujaisha chichas umis, ataksha aints ainaun untsuk chicharak: —Anturtuktaram. Tura wi taja nuka nekaataram.
"
Achuar,"Tamati chikich fariseo ainau chichainak: —Ju aintsun tsuwaruka Yuska akupkachmawaitai. Yus akupkamuitkungka, ayamtai kintatikia nunaka turachminuitai, —tiarmiayi. Tinamtai chikich ainau chichainak: —Atsa ¿tunau aintsuitkungka itiurak nu wainchatai takatnasha turatnuita? —tunaiyarmiayi. Tura asar metekchau nintimrarmiayi.
"
Achuar,"Turinamtai Jesúsa nukuri, ni kai Cleofasa nuwari Maríjai, nunia Magdalanmaya Maríjai Jesús nenaamunam arakchichu wajaarmiayi.
"
Achuar,"Antsu wína pachitsar chichaman antukar: “Yaanchuik Cristonu ainautin wait wajaktiniun suramnuyaji nunaka inais, iin yaanchuik amutmaktas wakerinutiat, yamaikia Cristonam uwemratin chichaman etserak wekaawai,” tiarmiayi.
"
Achuar,"Tura nunia jiinkir, Siracusa yaktanam nujamkar, nuni kampatam kinta kanurmiaji.
"
Achuar,"Tu tinamtai Pilato Jesúsan numinam ajinkar maawarat tusa akupkamiayi. Tura akupkamtai suntar ainau Jesúsan jukiarmiayi.
"
Achuar,"Tura asamtai tuke pengker nintimsar pujaji. Yus yamaram namangken iin suramsatin aa nuka wainchayatrik, Yuska wínaka nekas surustinuapita, tu nintimsar pujaji. Tura junia namangjaingkia ii Apurijaingkia tsaniasrikia pujuschatnuitji tusar nekaji.
"
Achuar,"Tura junia ainau nekamtairijaingkia atumin chicharkachmiajrume, antsu Yuse kakarmari nintimsaram Cristo nekasampita titaram tusan, wikia Yuse chichamenka ujayajrume. Yuse chichamen ujaaknaka, junia nungkanam nekamtaingkia nintimrataram tutsuk, antsu Yuse Wakani kakarmarijai Yuse chichamen atumniaka ujayajrume.
"
Achuar,"Tura asamtai iik nintimtumasrikia tu pujaji tusarkia, chichamka etsertsuji, antsu Jesucristo ii Apurintai tusar, ni chichamengka etserji. Tura Jesús iin anenmau asamtai, iikia atumi inatirinji taji.
"
Achuar,"Nunia Jesús ataksha chicharak: “Amikur ainautirmin atumin tajarme: Aints atumin mantamawartas wakerutminamtaisha shamkairap. Atumin mantaminayat, atumi wakaninka maachartinuitai.
"
Achuar,"Tu iniam Jesús ayaak: —¿Ameka Israel ainau nuinichukitam? ¿Turayatmesha waruka wi taja nuka nekatsme?
"
Achuar,"Yuse awemamuri peema timianu paan tsantramiayi. Tura ni entsatiri nekas puju jiitsumir amiayi.
"
Achuar,"Wi Damasco yaktanam jeamtai, juun apu Aretas chikich apun: Nu yakta apuri ata tusa inaikiamu asa, ni suntari ainaun wína pachitsar: Nu aints achiktaram tama, yakta waitirin mash epeniar winaka nakarkarmiayi.
"
Achuar,"Nuna tau asan Yusen nintimsan, tuke inaitsuk tunaarinchau pujustasan wakerajai. Tura aints ainaun nekasan pasé awajtsuk pujustasan wakerajai.
"
Achuar,"Yuse chichame tu aarmawaitai: ‘Wishikiartin ainautiram nintimrataram. Atum iwiaaku pujakrumin, wisha wainchati takatan takaamtaisha, chikich ainau nuna pachis atumin ujatminau wainiatrumek, atumka nekasampita pengké tichatnuitrume. Tura asaram atumsha mengkakai tusaram shamkataram,’ Yus tawai. Tu tinu asamtai, Yuse chichame etserin tiarmia nuna turunawai tusaram aneartaram,” Pablo timiayi.
"
Achuar,"Nunia Gamaliel judío juuntri ainaun chicharak: —Israel ainautiram, atum ju aints turatai tu nintimrume auka aneartaram.
"
Achuar,"Yaanchuikia ii juuntri ainauncha, tura Abrahamnasha, tura ni weari ainauncha nunaka wi turatatjai tímia nunisang Israel ainautin Yuse inatiri asakrin, tuke inaitamtsuk wait anentramak yainmakaruitji,” Marí timiayi.
"
Achuar,"Tura asaram chikitirmesha tunau wajasai tusaram, tura Yus kajertukai tusaram, yamaisha Yus atumi tunaarin tsangkutramratin asamtai, tuke kintajai metek pengker nintimtunisrum pujustaram.
"
Achuar,"Tura nuni jear kashi Pablo karanma nunisang Macedonia nungkanmaya aints wajaun wainkamiayi. Tura ni chichamen antukmiayi. Nu chichamka nuwaitai: “Katingkiam iin yaingkratkatasam winita.”
"
Achuar,"Wikia Jerusalénnum tu nintimsan pujai, sacerdote juuntri ainau turata tusar inatraramtai, Cristonu ainaun mainamtai, wisha pengkeraitai tinuyajai.
"
Achuar,"Yus tuke iwiaaku pujustaram tusa pujutan suramu asa, tura atumi namangken najanau asa, atumi yutairincha tura atumi entsatirincha suramsatatrume.
"
Achuar,"Tura Galilea nungkanam pujustas, Nazaret yaktanam wemiayi. Nu turunamuka yaanchuik Yuse chichamen etserin timiaun miatrusang umikmiayi. Nu Jesúsan pachis timiauka nuwaitai: “Nazaretnumia aintsuitai tiartinuitai.”
"
Achuar,"Jean jeamin kayan jeamkartas nuná eemkar nungkan tainiar kaya juuntan wewe amij tusar jintinawai. Jesucristo nu kaya nunisang asa iin uwemtikramratnuka nuketai.
"
Achuar,"Jesucristo tu akiinamiayi. Jesúsa nukuri Marín nuwatkataj tusa, José niin chichasmiayi. Tu chichasar kanakar pujuinai, Yuse Wakani kakarmarijai Marí japrukmiayi.
"
Achuar,"Tura Eliud Eleazaran yajutmarmiayi. Tura Eleazar Matánan yajutmarmiayi. Tura Matán Jacobon yajutmarmiayi.
"
Achuar,"Iikia Yus Moisésan akupkamuka nekaji. ¿Antsu nu aintska tuniantskai? —tiarmiayi.
"
Afrikaans,"Daarna het hulle die stede verwoes en op elke goeie stuk grond elkeen sy klip gegooi, sodat dit daarvan vol was, en elke waterfontein toegestop en elke goeie boom omgekap, totdat hulle net in Kir-Haréset die klipmure daarvan laat oorbly het. Maar toe die slingeraars dit omsingel en beskiet,
"
Afrikaans,"In wie se hand die siel is van alles wat leef, en die gees van alle menslike vlees.
"
Afrikaans,"Sy moeder sê vir die dienaars: Net wat Hy vir julle sê, moet julle doen.
"
Afrikaans,"En die getal van die leërs van perderuiters was twee maal tien duisend maal tien duisend; en ek het hulle getal gehoor.
"
Afrikaans,"En bedroef nie die Heilige Gees van God nie, deur wie julle verseël is tot die dag van verlossing.
"
Afrikaans,"Nou dan, HERE my God, U het u kneg koning gemaak in my vader Dawid se plek; maar ek is 'n jong seun; ek weet nie om uit of in te gaan nie.
"
Afrikaans,"Maar hierdie saak het Ek hulle beveel, naamlik: Luister na my stem, dan sal Ek vir julle 'n God wees, en julle sal vir My 'n volk wees; en wandel net in die weg wat Ek julle beveel, dat dit met julle goed kan gaan.
"
Afrikaans,"En Agab het vir Obádja gesê: Trek deur die land na al die waterfonteine en na al die spruite; miskien sal ons gras kry, sodat ons die perde en muile in die lewe kan hou en van die vee nie hoef uit te roei nie.
"
Afrikaans,"is soos die môrelig by sonsopgang, 'n môre sonder wolke as deur die glans ná die reën grasspruitjies uit die aarde uitkom.
"
Afrikaans,"Wie sal vir my optree teen die kwaaddoeners? Wie sal my bystaan teen die werkers van ongeregtigheid?
"
Afrikaans,"Maar die volk het daar gesmag na water, en die volk het teen Moses gemurmureer en gesê: Waarom het u ons dan uit Egipte laat optrek om my en my kinders en my vee van dors te laat omkom?
"
Afrikaans,"Die eerste was soos 'n leeu, en hy het vlerke van 'n arend gehad; ek het bly kyk totdat sy vlerke uitgeruk is en dit van die grond af opgehef en soos 'n mens op twee voete neergesit is en daaraan 'n mensehart gegee is.
"
Afrikaans,"Toe is die vier engele losgemaak wat gereed gehou was vir die uur en dag en maand en jaar, om 'n derde van die mense dood te maak.
"
Afrikaans,"En Hy het bedoel Judas Iskáriot, die seun van Simon; want hy sou Hom verraai, hy wat een van die twaalf was.
"
Afrikaans,"En as daar tien man in een huis oorgebly het, sal hulle sterwe.
"
Afrikaans,"Hy het aan Moses sy weë bekend gemaak, aan die kinders van Israel sy dade.
"
Afrikaans,"en u verhemelte soos die beste wyn wat vir my beminde saggies na binne gly, en oor die lippe vloei van die wat inslaap.
"
Afrikaans,"Kan jy die dieptes van God peil? Of sal jy kan deurdring tot by die volmaaktheid van die Almagtige?
"
Afrikaans,"As jy die grond bewerk, sal dit sy vermoë aan jou nie meer gee nie; 'n swerwer en vlugteling sal jy wees op die aarde.
"
Afrikaans,"omdat baie van die Jode deur hom weggegaan en in Jesus geglo het.
"
Afrikaans,"So sê die HERE: 'n Stem word gehoor in Rama, geklaag, bitter geween; Ragel ween oor haar kinders; sy weier om getroos te word oor haar kinders, omdat hulle daar nie is nie.
"
Afrikaans,"En Hy het hulle in stand gehou vir altyd, vir ewig; Hy het 'n wet gegee wat geeneen oortree nie.
"
Afrikaans,"die koning van Tirsa, een--al die konings saam, een en dertig.
"
Afrikaans,"Want so sê die HERE: Soos Ek oor hierdie volk gebring het al hierdie groot onheile, so bring Ek oor hulle al die goeie wat Ek oor hulle spreek.
"
Afrikaans,"Die woorde van 'n man se mond is diep waters, 'n stroom wat bruis, 'n fontein van wysheid.
"
Afrikaans,"En daar was geen redder nie, want dit was ver van Sidon af en hulle het met niemand gemeenskap gehad nie: dit het in die dal gelê wat by Bet-Rehob behoort. Hulle bou toe die stad weer op en woon daarin,
"
Afrikaans,"En die seuns van Gam was: Kus en Misraim en Put en Kanaän.
"
Afrikaans,"En toe haar eienaars sien dat die hoop van hulle wins weg was, het hulle Paulus en Silas gegryp en hulle na die mark voor die owerheid gesleep
"
Afrikaans,"Verder het ek gesê: Hoor tog, o hoofde van Jakob en owerstes van die huis van Israel! Betaam dit julle nie om die reg te ken nie?
"
Afrikaans,"Maar vra tog vir die diere, dat hulle jou leer; en die voëls van die hemel, dat hulle jou te kenne gee;
"
Afrikaans,"Word die regverdige uit die benoudheid gered, dan kom die goddelose in sy plek.
"
Afrikaans,"Kom, laat ons 'n slim plan teen hulle beraam, sodat hulle nie kan vermeerder nie, en as ons in oorlog geraak, hulle ook nie by ons vyande aansluit en teen ons veg en uit die land optrek nie.
"
Afrikaans,"My hart krimp inmekaar in my binneste, en verskrikkinge van die dood het op my geval.
"
Afrikaans,"En of hulle al sê: So waar as die HERE leef, sekerlik sweer hulle vals.
"
Afrikaans,"Daarna het die HERE op daardie selfde dag met Moses gespreek en gesê:
"
Afrikaans,"Daarom sal Ek só met jou handel, o Israel; omdat Ek só met jou sal handel--maak jou klaar om jou God te ontmoet, o Israel!
"
Afrikaans,"Daarna het Salomo die oudstes van Israel en al die stamhoofde, die familie-owerstes van die kinders van Israel, by koning Salomo in Jerusalem byeen laat kom om die verbondsark van die HERE uit die stad van Dawid, dit is Sion, op te bring.
"
Afrikaans,"Wat kan Dawid daar nog vir U byvoeg met die oog op die eer wat u kneg aangedoen is; en U ken u kneg.
"
Afrikaans,"Dit is die seuns van Disan: Us en Aran.
"
Afrikaans,"Toe kon Josef hom nie langer bedwing voor almal wat by hom gestaan het nie, en hy roep: Laat almal van my af weggaan! En daar het niemand by hom gestaan toe Josef hom aan sy broers bekend gemaak het nie.
"
Afrikaans,"Benája, die Pirhatoniet; Híddai, uit Nahale-Gaäs;
"
Afrikaans,"die koning van Madon, een; die koning van Hasor, een;
"
Afrikaans,"En Ek sal jou 'n onneembare kopermuur vir hierdie volk maak; en hulle sal teen jou veg, maar jou nie oorweldig nie; want Ek is met jou om jou te verlos en om jou te red, spreek die HERE.
"
Afrikaans,"maar die woord van die Here bly tot in ewigheid. En dit is die woord wat aan julle verkondig is.
"
Afrikaans,"Maar aan die Rubeniete en die Gadiete het ek van Gílead af tot by die Arnonrivier gegee, die middel van die rivier, saam met sy oewerland, en tot by die Jabbokrivier, die grens van die kinders van Ammon.
"
Afrikaans,"En toe die geld in Egipteland en in die land Kanaän op was, het al die Egiptenaars na Josef gekom en gesê: Gee vir ons brood! En: Waarom moet ons voor u oë sterwe, want die geld is gedaan?
"
Afrikaans,"Maar die hele Israel het u wet oortree en afgewyk deurdat hulle nie na u stem geluister het nie; daarom is die vloek en die eed oor ons uitgestort wat geskrywe is in die wet van Moses, die kneg van God, want ons het teen Hom gesondig.
"
Afrikaans,"En Moses was tagtig jaar en Aäron drie en tagtig jaar oud toe hulle met Farao gespreek het.
"
Afrikaans,"sodat sy lewe hom laat walg van brood en sy siel van lieflingspys.
"
Afrikaans,"om blinde oë te open; om gevangenes uit die kerker uit te lei, uit die gevangenis diegene wat in die duisternis sit.
"
Afrikaans,"En die een het hy in Bet-el opgerig en die ander in Dan opgestel.
"
Afrikaans,"In al julle woonplekke sal die stede verwoes en die hoogtes 'n wildernis word, sodat julle altare woes en eensaam sal wees, en julle drekgode verbreek sal word en verdwyn, en julle sonpilare omgekap en julle werke vernietig sal word.
"
Afrikaans,"Toe sê hulle, die een vir die ander: Wie het hierdie ding gedoen? En onderwyl hulle ondersoek en uitvra, sê hulle: Gídeon, die seun van Joas, het hierdie ding gedoen!
"
Afrikaans,"Die seuns van Sem was: Elam en Assur en Arpagsad en Lud en Aram.
"
Afrikaans,"Maar as julle die mense hulle oortredinge nie vergewe nie, sal julle Vader julle oortredinge ook nie vergewe nie.
"
Afrikaans,"het Moses in die poort van die laer gaan staan en gesê: Wie vír die HERE is, kom na my toe! Toe het al die seuns van Levi by hom versamel.
"
Afrikaans,"Mensekind, profeteer en sê: So spreek die HERE. Sê: 'n Swaard, 'n swaard is skerpgemaak en ook geskuur;
"
Afrikaans,"en Eljoënai en Jaäkóba en Jesohája en Asája en Adiël en Jesímiël en Benája
"
Afrikaans,"Luister na raad en neem tug aan, sodat jy in die vervolg wys kan wees.
"
